GPU,Algo,TestFile,Stage,ChunkSize,CompGBs,DecompGBs,TotalMs,Ratio,Speedup_vs_baseline
MI300X,snappy,large_random_1024.bin,+pinned,65536,96.86,394.20,52.14,0.990,8.47
MI300X,snappy,large_random_1024.bin,+chunk_optim,8192,107.53,341.62,51.03,0.990,8.66
MI300X,snappy,large_zeros_1024.bin,baseline,65536,70.68,229.92,233.56,21.300,1.00
MI300X,snappy,large_zeros_1024.bin,+pinned,65536,70.66,229.57,36.54,21.300,6.39
MI300X,snappy,large_zeros_1024.bin,+chunk_optim,8192,73.29,234.94,36.27,21.110,6.44
MI300X,snappy,medium_TTI_100.bin,baseline,65536,59.84,184.47,33.58,1.050,1.00
MI300X,snappy,medium_TTI_100.bin,+pinned,65536,60.05,184.30,5.51,1.050,6.09
MI300X,snappy,medium_TTI_100.bin,+chunk_optim,8192,95.05,307.59,4.91,1.050,6.83
MI300X,snappy,medium_binary_100.bin,baseline,65536,62.15,169.49,23.79,2.960,1.00
MI300X,snappy,medium_binary_100.bin,+pinned,65536,62.20,169.75,4.27,2.960,5.57
MI300X,snappy,medium_binary_100.bin,+chunk_optim,8192,84.13,215.97,4.20,2.810,5.66
MI300X,snappy,medium_random_100.bin,baseline,65536,82.40,341.39,34.53,0.990,1.00
MI300X,snappy,medium_random_100.bin,+pinned,65536,82.47,339.18,5.16,0.990,6.69
MI300X,snappy,medium_random_100.bin,+chunk_optim,8192,103.12,389.16,4.93,0.990,7.01
MI300X,snappy,medium_zeros_100.bin,baseline,65536,59.56,166.92,19.04,21.300,1.00
MI300X,snappy,medium_zeros_100.bin,+pinned,65536,59.56,166.17,3.83,21.300,4.97
MI300X,snappy,medium_zeros_100.bin,+chunk_optim,8192,73.75,222.06,3.45,21.110,5.52
MI300X,snappy,small_TTI_10.bin,baseline,65536,7.00,19.43,4.39,1.600,1.00
MI300X,snappy,small_TTI_10.bin,+pinned,65536,7.00,19.41,1.85,1.600,2.37
MI300X,snappy,small_TTI_10.bin,+chunk_optim,8192,52.92,125.43,0.61,1.600,7.17
MI300X,snappy,small_binary_10.bin,baseline,65536,7.11,19.30,3.69,2.960,1.00
MI300X,snappy,small_binary_10.bin,+pinned,65536,7.11,19.31,1.76,2.960,2.09
MI300X,snappy,small_binary_10.bin,+chunk_optim,8192,55.69,100.43,0.48,2.810,7.67
MI300X,snappy,small_random_10.bin,baseline,65536,11.36,43.49,5.32,0.990,1.00
MI300X,snappy,small_random_10.bin,+pinned,65536,11.37,43.37,1.35,0.990,3.93
MI300X,snappy,small_random_10.bin,+chunk_optim,8192,75.64,197.28,0.74,0.990,7.22
MI300X,snappy,small_zeros_10.bin,baseline,65536,7.00,19.35,3.56,21.300,1.00
MI300X,snappy,small_zeros_10.bin,+pinned,65536,7.03,19.30,1.74,21.300,2.05
MI300X,snappy,small_zeros_10.bin,+chunk_optim,8192,51.61,121.58,0.43,21.110,8.32
MI300X,snappy,xlarge_TTI_4096.bin,baseline,65536,98.30,331.19,1362.08,1.030,1.00
MI300X,snappy,xlarge_TTI_4096.bin,+pinned,65536,97.62,332.00,183.75,1.030,7.41
MI300X,snappy,xlarge_TTI_4096.bin,+chunk_optim,8192,105.48,271.98,184.25,1.030,7.39
MI300X,snappy,xlarge_binary_4096.bin,baseline,65536,83.40,283.61,1017.98,2.960,1.00
MI300X,snappy,xlarge_binary_4096.bin,+pinned,65536,82.80,284.65,157.44,2.960,6.47
MI300X,snappy,xlarge_binary_4096.bin,+chunk_optim,8192,84.72,223.04,158.48,2.810,6.42
MI300X,snappy,xlarge_random_4096.bin,baseline,65536,103.61,389.73,1488.18,0.990,1.00
MI300X,snappy,xlarge_random_4096.bin,+pinned,65536,103.03,390.91,202.54,0.990,7.35
MI300X,snappy,xlarge_random_4096.bin,+chunk_optim,8192,110.73,323.38,197.17,0.990,7.55
MI300X,snappy,xlarge_zeros_4096.bin,baseline,65536,73.71,255.60,825.64,21.300,1.00
MI300X,snappy,xlarge_zeros_4096.bin,+pinned,65536,73.24,255.20,141.26,21.300,5.84
MI300X,snappy,xlarge_zeros_4096.bin,+chunk_optim,8192,73.71,233.84,140.86,21.110,5.86
RX7900XT,cascaded,large_TTI_1024.bin,baseline,65536,61.06,173.54,217.73,1.030,1.00
RX7900XT,cascaded,large_TTI_1024.bin,+pinned,65536,61.56,176.26,63.51,1.030,3.43
RX7900XT,cascaded,large_TTI_1024.bin,+chunk_optim,65536,61.56,176.26,63.51,1.030,3.43
RX7900XT,cascaded,medium_TTI_100.bin,baseline,65536,55.80,188.51,31.61,1.040,1.00
RX7900XT,cascaded,medium_TTI_100.bin,+pinned,65536,52.71,182.91,9.50,1.040,3.33
RX7900XT,cascaded,medium_TTI_100.bin,+chunk_optim,65536,52.71,182.91,9.50,1.040,3.33
RX7900XT,lz4,large_TTI_1024.bin,baseline,65536,7.42,147.77,301.47,1.040,1.00
RX7900XT,lz4,large_TTI_1024.bin,+pinned,65536,7.43,138.40,148.43,1.040,2.03
RX7900XT,lz4,large_TTI_1024.bin,+chunk_optim,16384,11.18,160.75,116.16,1.040,2.60
RX7900XT,lz4,medium_TTI_100.bin,baseline,65536,5.84,92.58,47.03,1.060,1.00
RX7900XT,lz4,medium_TTI_100.bin,+pinned,65536,5.83,92.89,26.29,1.060,1.79
RX7900XT,lz4,medium_TTI_100.bin,+chunk_optim,16384,10.03,181.89,18.87,1.060,2.49
RX7900XT,snappy,large_TTI_1024.bin,baseline,65536,26.08,75.27,232.62,1.030,1.00
RX7900XT,snappy,large_TTI_1024.bin,+pinned,65536,26.07,76.19,80.74,1.030,2.88
RX7900XT,snappy,large_TTI_1024.bin,+chunk_optim,32768,27.06,64.70,78.96,1.030,2.95
RX7900XT,snappy,medium_TTI_100.bin,baseline,65536,23.81,105.97,34.05,1.050,1.00
RX7900XT,snappy,medium_TTI_100.bin,+pinned,65536,23.40,105.98,11.86,1.050,2.87
RX7900XT,snappy,medium_TTI_100.bin,+chunk_optim,32768,24.45,100.76,11.99,1.050,2.84
