GPUArch,EnvLabel,Campaign,Mode,ChunkSize,ChunkSizeKiB,Algorithm,Dataset,Size,FileSizeMB,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,1048576,1024,lz4,tti,large,686.00,1.04,3.35,87.26,214.435,8.244,73.022,70.346,357.802
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,1048576,1024,lz4,tti,medium,100.00,1.06,0.52,18.31,200.264,5.728,7.956,7.537,215.758
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,1048576,1024,snappy,tti,large,686.00,1.03,27.27,78.84,26.378,9.124,113.819,109.976,250.174
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,1048576,1024,snappy,tti,medium,100.00,1.05,4.39,12.45,23.901,8.423,7.822,7.439,39.162
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,1048576,1024,cascaded,tti,large,686.00,1.02,74.82,127.90,9.614,5.624,148.649,145.379,303.643
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,1048576,1024,cascaded,tti,medium,100.00,1.04,12.15,21.97,8.628,4.773,12.132,11.674,32.434
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,16777216,16384,lz4,tti,large,686.00,1.04,0.24,7.57,3058.405,95.003,13.571,13.074,3085.049
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,16777216,16384,lz4,tti,medium,100.00,1.06,0.03,1.36,3026.845,77.338,1.997,1.892,3030.735
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,16777216,16384,snappy,tti,large,686.00,1.03,2.16,7.18,333.423,100.237,13.565,13.107,360.095
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,16777216,16384,snappy,tti,medium,100.00,1.05,0.35,1.23,297.075,85.467,2.001,1.903,300.980
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,16777216,16384,cascaded,tti,large,686.00,1.02,4.89,9.04,147.006,79.550,13.548,13.300,173.853
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,16777216,16384,cascaded,tti,medium,100.00,1.03,0.75,1.37,138.958,76.440,1.999,1.944,142.901
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,262144,256,lz4,tti,large,686.00,1.04,7.62,122.96,94.354,5.850,117.804,113.482,325.640
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,262144,256,lz4,tti,medium,100.00,1.06,1.86,45.12,56.437,2.324,8.414,7.971,72.822
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,262144,256,snappy,tti,large,686.00,1.03,55.71,186.26,12.913,3.862,65.081,62.887,140.881
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,262144,256,snappy,tti,medium,100.00,1.05,16.94,49.01,6.190,2.139,8.074,7.679,21.942
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,262144,256,cascaded,tti,large,686.00,1.02,90.87,388.30,7.916,1.852,86.086,84.194,178.195
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,262144,256,cascaded,tti,medium,100.00,1.04,46.42,86.90,2.259,1.207,7.959,7.658,17.876
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,4194304,4096,lz4,tti,large,686.00,1.04,0.90,29.29,799.265,24.561,15.210,14.652,829.127
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,4194304,4096,lz4,tti,medium,100.00,1.06,0.14,5.19,763.081,20.204,2.230,2.113,767.424
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,4194304,4096,snappy,tti,large,686.00,1.03,6.78,19.20,106.017,37.465,15.165,14.653,135.836
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,4194304,4096,snappy,tti,medium,100.00,1.05,1.09,3.17,96.198,33.076,2.244,2.134,100.576
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,4194304,4096,cascaded,tti,large,686.00,1.02,18.87,37.15,38.121,19.365,15.214,14.891,68.225
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,4194304,4096,cascaded,tti,medium,100.00,1.04,3.05,5.53,34.334,18.967,2.226,2.142,38.702
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,65536,64,lz4,tti,large,686.00,1.04,12.15,305.50,59.192,2.355,112.505,108.354,280.051
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,65536,64,lz4,tti,medium,100.00,1.06,4.90,71.70,21.419,1.462,16.455,15.585,53.460
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,65536,64,snappy,tti,large,686.00,1.03,83.75,298.68,8.589,2.408,114.856,110.998,234.443
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,65536,64,snappy,tti,medium,100.00,1.05,59.90,184.92,1.750,0.567,16.447,15.643,33.841
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,65536,64,cascaded,tti,large,686.00,1.03,126.78,617.27,5.674,1.165,120.204,117.207,243.084
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,baseline,65536,64,cascaded,tti,medium,100.00,1.04,90.72,290.72,1.156,0.361,16.482,15.812,33.450
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,1048576,1024,lz4,tti,large,686.00,1.04,3.35,86.88,214.879,8.280,13.210,12.726,240.815
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,1048576,1024,lz4,tti,medium,100.00,1.06,0.52,18.10,200.641,5.793,1.998,1.893,204.532
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,1048576,1024,snappy,tti,large,686.00,1.03,27.16,75.57,26.490,9.519,13.189,12.744,52.423
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,1048576,1024,snappy,tti,medium,100.00,1.05,4.38,12.45,23.965,8.424,1.939,1.844,27.749
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,1048576,1024,cascaded,tti,large,686.00,1.02,74.83,146.75,9.613,4.902,13.337,13.043,35.993
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,1048576,1024,cascaded,tti,medium,100.00,1.04,12.18,22.00,8.612,4.767,1.925,1.853,12.390
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,16777216,16384,lz4,tti,large,686.00,1.04,0.23,7.64,3061.927,94.111,13.103,12.623,3087.652
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,16777216,16384,lz4,tti,medium,100.00,1.06,0.03,1.36,3032.693,77.263,1.928,1.826,3036.447
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,16777216,16384,snappy,tti,large,686.00,1.03,2.20,6.85,327.101,104.996,13.111,12.668,352.879
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,16777216,16384,snappy,tti,medium,100.00,1.05,0.35,1.25,298.945,83.946,1.926,1.832,302.704
